;pH;sulphates;alcohol;quality
102;3.34;0.39;9.4;5
103;2.99;0.46;9.0;5
104;3.0;0.44;9.1;5
105;3.2;0.35;9.2;6
106;3.4;0.41;9.4;5
107;3.16;0.59;9.1;6
108;3.16;0.59;9.1;6
109;3.27;0.6;10.3;5
110;2.89;0.39;8.8;6
111;3.04;0.52;8.9;5
112;3.01;0.47;9.2;5
113;3.22;0.51;9.1;5
114;3.22;0.51;9.1;5
115;3.63;0.4;9.7;4
116;3.31;0.44;11.3;6
117;3.19;0.42;11.8;6
118;3.01;0.47;9.2;5
119;3.04;0.5;9.2;5
120;3.22;0.51;10.2;5
121;3.01;0.54;8.8;5
122;3.29;0.34;9.7;5
123;3.29;0.36;9.1;6
124;3.21;0.36;9.8;6
125;3.27;0.48;11.0;6
126;3.14;0.42;10.5;5
127;3.45;0.54;9.7;7
128;3.3;0.57;10.9;7
129;3.31;0.57;10.9;6
130;3.39;0.37;10.6;5
131;3.45;0.54;9.7;7
132;3.23;0.57;9.0;5
133;3.24;0.51;9.2;5
134;3.19;0.52;8.9;5
135;3.26;0.56;9.6;5
136;3.12;0.38;10.7;6
137;3.16;0.44;8.7;5
138;3.15;0.54;10.8;7
139;3.23;0.52;11.8;6
140;3.3;0.43;10.2;5
141;3.16;0.44;8.7;5
142;3.21;0.54;10.8;6
143;3.18;0.53;9.7;6
144;3.12;0.54;11.2;6
145;3.0;0.39;10.9;6
146;3.28;0.37;10.1;6
147;3.38;0.36;9.0;4
148;3.38;0.58;12.0;7
149;2.99;0.38;9.4;6
150;3.12;0.32;11.5;7
151;3.14;0.43;9.9;6
152;2.99;0.38;9.4;6
153;3.14;0.45;10.4;5
154;3.06;0.84;9.7;6
155;2.89;0.42;8.9;6
156;2.89;0.42;8.9;6
157;3.29;0.42;12.4;7
158;3.36;0.33;12.1;8
159;3.36;0.33;12.1;8
160;3.29;0.42;12.4;7
161;2.98;0.4;9.1;5
162;3.28;0.39;10.6;5
163;2.89;0.42;8.9;6
164;3.15;0.5;9.5;5
165;3.16;0.49;9.8;5
166;3.14;0.59;9.6;6
167;3.08;0.44;12.6;7
168;3.08;0.54;9.3;5
169;2.87;0.29;10.0;5
170;3.12;0.54;12.7;6
171;3.13;0.39;11.0;6
172;3.03;0.39;11.4;4
173;3.35;0.33;11.5;7
174;3.09;0.64;10.2;5
175;3.11;0.27;11.4;6
176;3.03;0.41;12.6;4
177;3.28;0.39;9.4;5
178;3.11;0.35;8.7;4
179;3.19;0.68;9.2;6
180;3.19;0.66;9.3;6
181;3.09;0.43;9.2;5
182;2.93;0.5;8.7;5
183;3.18;0.58;9.6;6
184;3.02;0.63;9.3;5
185;3.02;0.63;9.3;5
186;3.12;0.61;9.9;6
187;3.15;0.5;11.0;5
188;3.26;0.57;12.7;8
189;3.09;0.54;8.9;4
190;3.09;0.55;8.9;6
191;2.93;0.5;8.7;5
192;3.02;0.37;11.4;6
193;3.36;0.42;9.6;5
194;3.02;0.41;9.1;5
195;3.02;0.39;9.1;6
196;3.01;0.38;9.1;5
197;3.13;0.47;8.9;5
198;3.1;0.49;8.8;5
199;3.13;0.47;8.9;5
200;3.15;0.5;9.3;5
201;3.1;0.49;8.8;5
202;3.2;0.5;9.6;5
203;3.33;0.53;12.0;6
204;3.28;0.5;10.2;4
205;3.15;0.43;8.8;5
206;3.21;0.34;9.2;5
207;2.99;0.51;9.9;4
208;3.32;0.74;10.2;5
209;3.22;0.77;9.5;6
210;3.31;0.34;10.5;5
211;3.32;0.59;11.2;7
212;3.21;0.34;9.2;5
213;3.44;0.37;9.7;6
214;3.3;0.44;11.1;7
215;3.31;0.38;9.4;5
216;3.03;0.33;11.0;5
217;3.31;0.38;9.4;5
218;3.31;0.44;9.4;5
219;3.04;0.32;11.0;5
220;3.03;0.33;11.0;5
221;3.0;0.55;9.1;6
222;3.3;0.44;11.1;7
223;3.42;0.39;9.1;6
224;3.39;0.54;10.4;6
225;3.32;0.39;8.7;5
226;3.5;0.5;9.7;6
227;3.17;0.52;9.1;6
228;3.5;0.5;9.7;6
229;3.32;0.39;8.7;5
230;3.37;0.46;8.9;4
231;3.34;0.51;9.6;6
232;3.31;0.51;9.5;6
233;3.09;0.44;9.0;6
234;3.09;0.44;9.0;6
235;3.09;0.44;9.0;6
236;3.09;0.44;9.0;6
237;3.27;0.5;9.6;6
238;3.34;0.41;11.1;7
239;3.48;0.64;9.6;6
240;3.2;0.46;8.7;5
241;3.13;0.5;10.4;5
242;3.15;0.38;11.4;7
243;3.3;0.58;9.7;6
244;3.14;0.46;8.7;5
245;3.37;0.79;11.3;6
246;3.16;0.61;12.6;7
247;3.25;0.36;10.9;7
248;3.25;0.37;10.9;7
249;3.38;0.45;10.0;5
250;3.72;0.7;10.0;4
251;3.02;0.5;9.8;3
252;3.14;0.46;8.7;5
253;3.53;0.43;11.7;3
254;3.21;0.52;9.3;6
255;3.32;0.58;9.6;8
256;3.27;0.41;11.0;7
257;3.27;0.41;11.0;7
258;3.32;0.5;11.8;6
259;3.28;0.34;11.4;4
260;3.32;0.42;10.2;6
261;2.93;0.47;8.9;5
262;3.17;0.33;10.2;5
263;3.08;0.59;9.6;6
264;3.1;0.48;10.6;6
265;2.93;0.47;8.9;5
266;3.25;0.51;9.2;6
267;3.34;0.57;9.7;5
268;3.34;0.57;9.7;6
269;3.34;0.57;9.7;6
270;3.25;0.51;9.2;6
271;3.33;0.58;9.7;5
272;3.29;0.38;9.3;5
273;3.24;0.38;9.0;5
274;3.05;0.61;9.5;5
275;3.14;0.57;9.8;6
276;3.14;0.58;9.8;6
277;2.89;0.5;10.6;5
278;3.05;0.47;10.6;4
279;3.26;0.68;12.4;7
280;3.19;0.38;12.6;8
281;3.3;0.6;12.3;8
282;3.08;0.65;10.5;4
283;3.19;0.49;9.3;5
284;3.12;0.49;8.8;5
285;3.08;0.47;8.8;5
286;3.22;0.51;9.7;6
287;2.98;0.48;9.0;7
288;2.98;0.48;9.0;7
289;2.98;0.48;9.0;7
290;2.98;0.48;9.0;7
291;3.52;0.46;10.5;6
292;2.96;0.44;9.1;5
293;3.44;0.64;9.8;7
294;3.23;0.38;8.5;3
295;3.37;0.54;9.4;6
296;3.09;0.57;9.4;5
297;3.19;0.6;11.2;7
298;3.17;0.45;10.0;6
299;3.15;0.45;10.3;6
300;3.27;0.67;10.8;6
301;3.13;0.38;10.5;6
302;3.27;0.67;10.8;6
303;3.32;0.43;11.1;6
304;3.2;0.41;9.9;6
305;3.2;0.41;9.9;6
306;3.2;0.41;9.9;5
307;3.2;0.41;9.9;6
308;3.2;0.42;10.4;7
309;3.21;0.41;10.4;6
310;3.4;0.71;11.5;7
311;3.53;0.51;12.5;8
312;3.36;0.45;10.0;6
313;3.29;0.63;10.0;6
314;3.29;0.62;10.0;5
315;3.09;0.44;9.1;6
316;3.21;0.38;10.6;6
317;3.19;0.37;10.5;5
318;3.52;0.43;11.5;7
319;3.54;0.59;10.1;6
320;3.61;0.61;10.3;7
321;3.19;0.37;10.5;5
322;3.21;0.38;10.6;6
323;3.16;0.36;10.4;6
324;3.02;0.55;11.4;5
325;3.18;0.59;10.5;5
326;2.96;0.6;10.0;6
327;3.19;0.65;10.0;6
328;3.23;0.5;9.6;6
329;3.17;0.51;10.4;5
330;3.36;0.6;12.5;8
331;3.2;0.39;10.6;5
332;3.28;0.4;11.8;6
333;3.11;0.44;9.8;5
334;3.25;0.38;10.8;5
335;3.28;0.4;11.8;6
336;3.32;0.42;11.2;6
337;3.28;0.42;9.3;6
338;3.45;0.53;10.4;5
339;3.43;0.85;10.2;7
340;3.19;0.55;9.0;7
341;3.2;0.54;10.0;6
342;3.18;0.47;9.1;6
343;3.29;0.76;10.0;5
344;3.29;0.75;10.0;6
345;3.28;0.4;9.6;6
346;3.36;0.51;11.2;7
347;3.2;0.44;8.8;6
348;3.15;0.5;10.0;6
349;3.15;0.47;10.0;5
350;3.27;0.74;11.4;7
351;3.03;0.3;11.9;7
352;3.14;0.51;9.6;6
353;3.03;0.3;11.9;7
354;3.25;0.57;9.6;6
355;2.89;0.38;9.0;6
356;2.89;0.38;9.0;6
357;3.15;0.78;9.5;6
358;3.0;0.42;10.4;6
359;3.2;0.59;10.6;6
360;3.28;0.5;10.2;6
361;3.15;0.43;8.9;5
362;3.4;0.39;9.7;6
363;2.89;0.38;9.0;6
364;3.49;0.42;11.4;7
365;3.4;0.71;12.3;7
366;3.49;0.62;10.8;6
367;3.12;0.45;9.4;6
368;3.17;0.64;10.6;6
369;3.17;0.29;11.6;5
370;3.12;0.45;9.4;6
371;3.17;0.64;10.6;6
372;3.34;0.56;10.0;5
373;3.1;0.51;9.2;6
374;3.51;0.38;12.5;7
375;3.51;0.38;12.5;7
376;3.32;0.51;10.4;7
377;3.15;0.46;10.0;7
378;3.22;0.64;10.0;6
379;3.32;0.51;10.4;7
380;3.15;0.46;10.0;7
381;3.1;0.52;9.0;6
382;3.12;0.53;9.2;6
383;3.1;0.51;9.2;6
384;3.38;0.39;11.3;7
385;3.51;0.38;12.5;7
386;3.48;0.39;10.8;7
387;3.12;0.66;10.1;5
388;3.39;0.46;9.7;6
389;3.18;0.61;9.3;7
390;3.18;0.61;9.3;7
391;3.1;0.46;10.6;5
392;3.36;0.47;10.2;6
393;3.08;0.56;12.2;6
394;3.19;0.44;8.8;5
395;3.18;0.41;10.0;5
396;3.09;0.39;11.4;5
397;3.46;0.5;11.4;6
398;3.35;0.44;9.4;5
399;3.3;0.41;11.7;6
400;3.46;0.5;11.4;6
401;3.19;0.44;8.8;5
402;3.23;0.52;9.2;5
403;3.07;0.56;8.7;5
404;3.24;0.66;12.6;6
405;3.18;0.41;10.0;5
406;3.39;0.39;12.8;7
407;3.17;0.51;9.4;5
408;3.26;0.53;10.3;6
409;3.09;0.39;11.4;5
410;2.97;0.47;9.0;6
411;3.3;0.79;9.6;6
412;3.16;0.5;10.5;5
413;3.16;0.5;10.5;5
414;2.97;0.47;9.0;6
415;3.3;0.79;9.6;6
416;3.19;0.33;9.8;6
417;3.1;0.47;9.0;5
418;3.19;0.33;9.8;6
419;3.31;0.56;10.5;6
420;3.16;0.37;12.7;7
421;3.25;0.54;10.4;6
422;3.25;0.54;10.4;6
423;3.25;0.54;10.4;6
424;3.34;0.52;10.5;7
425;3.25;0.54;10.4;6
426;3.25;0.54;10.4;6
427;3.09;0.45;9.4;5
428;3.06;0.46;9.1;5
429;3.1;0.49;9.3;5
430;3.09;0.45;9.4;5
431;3.21;0.38;9.8;5
432;3.18;0.61;9.9;7
433;3.07;0.57;9.2;4
434;3.35;0.47;12.1;8
435;3.38;0.49;12.2;7
436;3.27;0.6;9.8;5
437;3.35;0.64;12.4;8
438;3.18;0.61;9.9;7
439;3.26;0.54;9.2;5
440;3.29;0.59;11.6;7
441;3.3;0.69;10.4;6
442;3.43;0.65;12.9;8
443;3.26;0.54;9.3;6
444;3.2;0.33;11.0;6
445;3.24;0.4;11.5;3
446;3.53;0.42;12.4;5
447;3.44;0.53;9.8;6
448;3.44;0.53;9.8;6
449;3.48;0.56;10.5;7
450;3.03;0.54;9.1;5
451;3.24;0.44;10.1;5
452;3.46;0.51;10.6;7
453;3.41;0.51;10.5;7
454;3.48;0.56;10.5;7
455;3.44;0.53;9.8;6
456;3.3;0.4;12.9;7
457;2.95;0.52;9.5;5
458;3.29;0.72;9.8;6
459;3.37;0.5;8.5;5
460;2.95;0.52;9.5;5
461;3.22;0.45;9.3;5
462;3.35;0.38;9.5;5
463;3.17;0.39;9.4;6
464;3.16;0.5;8.7;5
465;2.95;0.46;8.9;5
466;3.22;0.43;9.4;6
467;3.17;0.39;9.4;6
468;3.16;0.5;8.7;5
469;3.09;0.52;9.6;5
470;3.0;0.73;9.3;6
471;3.14;0.76;10.0;5
472;3.25;0.45;12.5;6
473;3.36;0.48;9.6;7
474;3.24;0.36;9.4;6
475;3.03;0.61;9.5;5
476;2.99;0.39;12.4;7
477;3.11;0.55;10.5;6
478;2.97;0.58;9.2;6
479;3.32;0.56;10.4;6
480;3.22;0.6;9.2;5
481;3.33;0.51;10.6;6
482;3.34;0.42;9.5;5
483;3.22;0.6;9.2;5
484;3.29;0.58;9.6;5
485;3.47;0.54;9.7;6
486;3.46;0.51;9.7;6
487;3.1;0.42;10.7;6
488;3.34;0.68;10.5;6
489;3.13;0.45;8.9;6
490;3.09;0.46;12.1;6
491;3.25;0.4;12.7;7
492;3.18;0.46;9.9;6
493;3.2;0.64;11.4;6
494;3.37;0.58;10.7;6
495;3.33;0.48;12.5;6
496;3.08;0.49;8.6;4
497;3.29;0.54;12.5;6
498;3.27;0.66;10.0;5
499;3.08;0.49;8.6;4
500;3.08;0.49;9.5;6
501;3.12;0.48;9.6;6
502;3.2;0.62;9.9;6
503;3.19;0.62;9.9;5
504;3.06;0.53;8.9;6
505;3.06;0.53;8.9;6
506;3.01;0.52;8.8;5
507;3.64;0.54;10.0;7
508;3.44;0.44;12.0;6
509;3.64;0.54;10.0;7
510;3.21;0.42;10.0;6
511;3.11;0.41;12.1;6
512;3.16;0.59;11.0;6
513;3.21;0.33;11.2;6
514;3.17;0.39;10.3;7
515;3.37;0.47;10.4;6
516;3.08;0.45;9.1;5
517;3.0;0.6;10.4;6
518;3.43;0.64;10.8;6
519;3.19;0.4;11.7;5
520;3.05;0.74;9.8;5
521;3.05;0.74;9.8;5
522;3.03;0.39;11.4;6
523;3.03;0.38;11.2;6
524;3.37;0.34;11.4;5
525;3.09;0.45;9.2;6
526;3.04;0.53;12.5;4
527;3.36;0.44;12.6;6
528;3.44;0.35;12.2;6
529;3.56;0.45;11.2;6
530;3.43;0.79;9.7;6
531;3.06;0.4;9.3;5
532;3.01;0.48;9.0;6
533;3.01;0.48;9.0;6
534;3.01;0.48;9.0;6
535;3.09;0.51;9.1;5
536;3.09;0.51;9.1;5
537;3.01;0.48;9.0;6
538;3.31;0.54;10.4;5
539;3.37;0.67;9.5;6
540;3.46;0.55;11.4;4
541;3.16;0.42;8.7;5
542;3.34;0.68;9.9;6
543;3.22;0.62;9.9;6
544;3.21;0.51;9.0;6
545;3.49;0.58;10.0;6
546;3.49;0.64;9.7;6
547;3.3;0.49;11.8;6
548;3.49;0.5;10.2;7
549;3.16;0.42;8.7;5
550;3.07;0.52;9.6;7
551;2.93;0.37;11.3;7
552;3.0;0.38;12.1;7
553;3.07;0.52;9.6;7
554;3.0;0.38;12.1;7
555;2.93;0.37;11.3;7
556;2.98;0.65;9.4;5
557;3.32;0.5;10.4;6
558;3.25;0.39;9.5;5
559;3.01;0.76;12.3;6
560;3.12;0.74;9.9;7
561;3.24;0.48;10.1;5
562;3.09;0.63;9.2;6
563;3.08;0.77;10.4;7
564;3.2;0.42;9.1;5
565;3.12;0.47;10.0;6
566;3.13;0.39;11.5;6
567;3.08;0.61;9.8;5
568;3.08;0.6;9.8;6
569;3.19;0.69;9.4;6
570;3.05;0.46;8.7;5
571;3.32;0.41;11.6;7
572;3.04;0.56;8.8;5
573;3.16;0.39;12.7;7
574;3.17;0.44;11.7;7
575;3.13;0.5;10.2;6
576;3.13;0.5;10.2;6
577;3.15;0.38;12.7;7
578;3.32;0.41;11.6;7
579;3.38;0.38;12.3;7
580;3.05;0.46;8.7;5
581;3.35;0.39;9.4;5
582;3.13;0.35;10.1;6
583;2.86;0.36;9.7;6
584;3.42;0.51;10.1;7
585;2.86;0.36;9.7;6
586;3.13;0.48;8.9;6
587;3.47;0.5;10.8;7
588;3.42;0.49;10.8;7
589;3.19;0.58;9.5;6
590;2.94;0.44;9.1;5
591;3.32;0.49;10.9;6
592;3.2;0.52;9.4;5
593;2.97;0.28;10.8;5
594;2.97;0.29;10.8;5
595;3.45;0.5;10.5;7
596;3.2;0.52;9.4;5
597;3.17;0.44;10.8;6
598;3.35;0.48;10.5;8
599;3.08;0.68;11.5;7
600;3.11;0.54;9.4;6
601;2.88;0.38;10.8;6
602;2.97;0.28;10.8;5
603;2.97;0.29;10.8;5
604;2.99;0.61;9.8;6
605;2.99;0.61;9.8;6
606;3.43;0.38;9.6;5
607;3.43;0.38;9.6;5
608;3.34;0.48;9.5;5
609;3.48;0.69;10.7;6
610;3.25;0.65;12.4;8
611;3.09;0.39;11.1;6
612;2.99;0.38;8.8;5
613;3.0;0.36;8.7;5
614;3.0;0.36;8.7;5
615;2.99;0.38;8.8;5
616;3.21;0.65;11.7;7
617;3.23;0.5;10.9;6
618;3.23;0.5;10.8;6
619;3.12;0.5;9.6;6
620;3.18;0.58;9.0;5
621;2.85;0.5;9.0;5
622;3.36;0.6;10.4;6
623;3.23;0.51;11.4;5
624;3.26;0.55;9.3;5
625;3.33;0.46;11.0;8
626;3.32;0.45;9.1;4
627;3.23;0.62;9.4;6
628;3.23;0.62;9.4;6
629;3.18;0.6;10.5;6
630;3.22;0.42;8.8;5
631;3.22;0.42;8.8;5
632;3.26;0.64;10.7;6
633;3.33;0.42;9.5;5
634;3.43;0.49;10.9;6
635;3.49;0.51;10.8;6
636;3.41;0.46;10.8;7
637;3.1;0.62;9.2;5
638;3.3;0.71;10.3;5
639;3.3;0.71;10.3;5
640;3.34;0.5;11.0;7
641;3.25;0.43;9.0;4
642;3.36;0.5;10.4;6
643;3.31;0.45;9.5;5
644;3.31;0.45;9.5;5
645;3.24;0.41;9.0;5
646;3.09;0.57;9.5;4
647;3.16;0.37;9.0;6
648;3.16;0.72;10.0;5
649;3.07;0.53;9.1;7
650;3.07;0.53;9.1;7
651;3.07;0.53;9.1;7
652;3.07;0.53;9.1;7
653;3.34;0.45;9.5;6
654;3.33;0.75;11.4;7
655;3.11;0.42;12.2;6
656;3.04;0.4;11.3;6
657;3.25;0.44;10.2;5
658;3.24;0.4;11.3;5
659;3.15;0.47;10.0;4
660;3.15;0.38;9.4;5
661;3.37;0.5;12.2;7
662;3.4;0.47;9.2;4
663;3.15;0.38;9.4;5
664;3.35;0.52;9.6;6
665;3.28;0.48;9.5;5
666;3.35;0.72;12.5;6
667;3.35;0.52;9.6;6
668;3.35;0.46;10.0;6
669;3.18;0.57;9.3;5
670;3.14;0.55;9.3;6
671;3.29;0.57;11.6;6
672;3.38;0.5;12.5;8
673;3.36;0.63;10.6;6
674;3.08;0.6;9.4;5
675;3.19;0.4;9.1;6
676;3.23;0.41;9.0;6
677;3.42;0.42;11.8;7
678;3.42;0.42;11.8;7
679;3.42;0.42;11.8;7
680;3.17;0.39;10.0;5
681;3.06;0.47;9.7;5
682;3.24;0.44;9.5;6
683;3.12;0.48;9.4;5
684;3.03;0.42;11.2;5
685;3.25;0.46;9.0;5
686;3.3;0.53;10.7;7
687;3.08;0.67;9.0;4
688;3.14;0.5;9.1;6
689;3.26;0.6;10.8;7
690;3.31;0.6;10.1;4
691;3.17;0.62;9.9;6
692;3.17;0.62;9.8;5
693;3.17;0.63;9.8;5
694;3.16;0.66;9.5;6
695;3.23;0.46;9.5;5
696;3.23;0.57;11.1;6
697;3.06;0.6;9.5;5
698;3.06;0.6;9.5;5
699;3.06;0.59;9.4;5
700;3.06;0.64;9.7;5
701;3.41;0.78;13.9;7
702;3.22;0.45;10.1;4
703;3.12;0.42;10.5;6
704;3.42;0.5;12.6;6
705;2.89;0.34;10.9;5
706;3.15;0.6;10.0;5
707;3.13;0.62;11.2;6
708;3.11;0.48;10.0;6
709;3.14;0.46;9.2;5
710;3.35;0.45;9.5;5
711;3.1;0.5;12.3;6
712;3.1;0.5;12.3;6
713;3.32;0.43;10.0;5
714;3.41;0.5;10.8;6
715;3.49;0.71;10.5;7
716;3.06;0.61;9.2;6
717;2.96;0.5;9.1;5
718;3.49;0.71;10.5;7
719;3.45;0.5;10.2;7
720;3.02;0.45;8.9;5
721;3.5;0.52;10.4;5
722;3.37;0.47;11.7;6
723;3.26;0.44;12.4;8
724;3.14;0.39;10.9;7
725;3.15;0.46;10.2;5
726;3.37;0.66;11.7;7
727;2.99;0.59;9.4;5
728;3.35;0.47;10.5;5
729;3.12;0.62;9.4;5
730;3.35;0.56;10.4;6
731;3.25;0.47;9.5;6
732;3.01;0.33;11.1;7
733;3.02;0.5;9.1;6
734;3.28;0.61;9.2;5
735;3.14;0.49;9.6;6
736;3.02;0.5;9.1;6
737;3.28;0.61;9.2;5
738;3.17;0.39;10.8;7
739;3.14;0.49;9.6;6
740;3.31;0.37;12.6;3
741;3.44;0.55;11.0;6
742;3.28;0.61;10.2;6
743;3.33;0.43;9.4;5
744;3.17;0.43;10.0;5
745;3.26;0.55;12.2;6
746;3.22;0.56;10.5;6
747;3.04;0.32;11.5;6
748;3.3;0.54;9.8;6
749;3.04;0.32;11.4;6
750;3.04;0.32;11.5;6
751;3.15;0.55;10.2;6
752;3.16;0.5;9.4;6
753;3.22;0.56;10.5;6
754;3.09;0.5;9.1;5
755;3.25;0.48;12.2;7
756;3.42;0.43;9.5;5
757;3.4;0.85;9.3;6
758;3.3;0.96;9.8;7
759;3.3;0.97;9.8;7
760;3.3;0.54;9.8;6
761;3.3;0.54;9.8;6
762;3.0;0.56;8.7;5
763;3.37;0.57;10.2;6
764;3.22;0.69;9.5;6
765;2.94;0.46;11.0;6
766;3.08;0.44;9.2;5
767;3.21;0.6;10.9;6
768;3.42;0.4;9.3;7
769;3.42;0.4;9.3;7
770;3.41;0.46;9.8;7
771;3.12;0.39;9.3;7
772;3.12;0.39;9.3;7
773;3.4;0.45;9.4;5
774;3.2;0.46;10.4;9
775;3.24;0.58;12.1;6
776;3.02;0.56;11.0;6
777;3.12;0.53;9.0;5
778;3.37;0.82;9.5;7
779;3.28;0.75;8.8;8
780;3.37;0.38;11.2;4
781;3.08;0.61;9.3;6
782;3.37;0.82;9.5;7
783;3.28;0.75;8.8;8
784;3.12;0.53;9.0;5
785;3.27;0.3;9.3;6
786;3.27;0.29;9.2;6
787;3.27;0.29;9.2;6
788;3.46;0.45;10.0;7
789;3.27;0.3;9.3;6
790;3.27;0.29;9.2;6
791;3.39;0.69;10.9;7
792;3.1;0.56;10.0;5
793;3.39;0.69;10.9;7
794;3.03;0.52;9.3;5
795;3.09;0.43;9.0;5
796;3.02;0.58;9.2;6
797;3.28;0.77;9.6;6
798;3.42;0.4;9.4;6
799;3.34;0.58;11.1;8
800;3.06;0.41;8.9;6
801;3.19;0.47;9.3;5
802;3.07;0.53;9.3;5
803;3.41;0.44;9.8;7
804;3.22;0.46;9.8;6
805;3.06;0.41;8.9;6
806;3.17;0.41;9.6;5
807;3.16;0.41;9.6;6
808;3.15;0.38;9.0;6
809;3.17;0.43;9.5;6
810;3.19;0.47;9.3;5
811;3.21;0.56;9.2;6
812;3.42;0.5;9.1;7
813;3.38;0.46;9.5;6
814;3.03;0.59;10.5;6
815;3.01;0.46;9.0;5
816;3.16;0.52;11.7;5
817;3.2;0.51;9.1;5
818;3.01;0.46;9.0;5
819;3.2;0.51;9.1;5
820;3.41;0.61;12.4;9
821;2.96;0.58;9.2;6
822;3.3;0.43;9.4;5
823;3.34;0.43;9.6;6
824;3.16;0.52;11.7;5
825;3.26;0.56;9.8;6
826;3.33;0.59;10.2;6
827;3.28;0.48;12.5;9
828;3.16;0.44;10.9;7
829;3.16;0.42;11.0;7
830;3.72;0.69;10.5;6
831;3.05;0.62;11.5;4
832;3.36;0.53;12.8;8
833;3.18;0.44;12.2;6
834;3.72;0.69;10.5;6
835;3.14;0.45;12.8;8
836;3.25;0.4;11.9;8
837;3.25;0.4;11.9;8
838;3.25;0.4;11.9;8
839;3.16;0.39;12.0;7
840;3.16;0.39;12.0;7
841;3.12;0.47;8.8;7
842;3.12;0.47;8.8;7
843;3.21;0.54;10.8;7
844;3.3;0.5;11.0;8
845;3.3;0.5;11.0;8
846;3.02;0.4;9.3;5
847;3.08;0.39;10.8;5
848;3.12;0.47;8.8;7
849;3.31;0.47;11.5;6
850;3.21;0.54;10.8;7
851;3.1;0.54;9.4;5
852;3.27;0.95;9.5;7
853;3.06;0.49;8.6;5
854;3.27;0.95;9.5;7
855;3.49;0.77;10.3;7
856;3.1;0.54;9.4;5
857;3.1;0.52;9.4;5
858;3.17;0.54;10.0;7
859;3.18;0.47;9.4;5
860;3.22;0.63;10.4;8
861;3.29;0.75;9.1;7
862;3.36;0.61;9.9;6
863;3.24;0.5;12.1;6
864;3.35;0.61;9.9;5
865;3.12;0.3;12.5;6
866;3.27;0.95;9.5;7
867;3.24;0.76;8.5;8
868;3.28;0.82;9.0;7
869;3.19;0.7;10.1;6
870;3.04;0.48;9.4;5
871;3.06;0.49;8.6;5
