;fixed acidity;volatile acidity;citric acid;residual sugar
445;7.1;0.32;0.32;11.0
446;5.8;0.28;0.27;2.6
447;6.5;0.41;0.24;14.0
448;6.5;0.41;0.24;14.0
449;6.4;0.28;0.29;1.6
450;7.2;0.6;0.2;9.9
451;6.1;0.2;0.25;1.2
452;5.9;0.46;0.14;2.7
453;6.0;0.27;0.27;1.6
454;6.4;0.28;0.29;
455;6.4;0.41;0.24;14.0
456;6.3;0.23;0.31;1.5
457;7.1;0.21;0.27;8.6
458;6.0;0.37;0.32;1.0
459;6.1;0.43;0.35;9.1
460;7.1;0.21;0.27;8.6
461;7.0;0.25;0.29;15.2
462;5.9;0.25;0.19;12.4
463;6.8;0.32;0.21;2.2
464;7.2;0.39;0.62;11.0
465;6.3;0.21;0.58;10.0
466;7.0;0.14;0.32;9.0
467;6.8;0.32;0.21;2.2
468;7.2;0.39;0.62;11.0
469;7.2;0.29;0.53;18.15
470;8.6;0.37;0.7;12.15
471;6.5;0.38;0.34;3.4
472;6.6;0.24;0.29;2.0
473;7.0;0.17;0.31;4.8
474;5.5;0.16;0.22;4.5
475;7.0;0.24;0.51;11.0
476;7.4;0.28;0.36;1.1
477;7.0;0.22;0.28;1.5
478;7.1;0.55;0.13;1.7
479;6.3;0.22;0.33;1.7
480;6.7;0.47;0.34;8.9
481;5.9;0.36;0.41;1.3
482;5.8;0.25;0.24;13.3
483;6.7;0.47;0.34;
484;6.2;0.37;0.3;6.6
485;6.2;0.18;0.38;
486;6.0;0.16;0.37;1.5
487;6.6;0.34;0.28;1.3
488;7.4;0.29;0.29;1.6
489;7.4;0.26;0.31;7.6
490;7.0;0.28;0.36;1.0
491;7.1;0.23;0.39;1.6
492;7.8;0.19;0.26;8.9
493;6.3;0.19;0.28;1.8
494;6.8;0.2;0.38;4.7
495;5.7;0.44;0.13;7.0
496;7.2;0.4;0.62;10.8
497;6.8;0.23;0.32;1.6
498;5.7;0.335;0.34;1.0
499;7.2;0.4;0.62;10.8
500;7.2;0.28;0.54;16.7
501;6.8;0.19;0.58;14.2
502;6.4;0.3;0.3;
503;6.5;0.3;0.29;2.25
504;7.8;0.18;0.31;12.2
505;7.8;0.18;0.31;12.2
506;7.3;0.51;0.26;3.3
507;6.0;0.24;0.27;1.9
508;5.9;0.62;0.28;3.5
509;6.0;0.24;0.27;1.9
510;6.7;0.27;0.12;1.3
511;7.8;0.34;0.35;1.8
512;7.3;0.26;0.36;5.2
513;7.4;0.36;0.33;1.4
514;7.8;0.28;0.32;9.0
515;6.1;0.31;0.26;2.2
516;6.8;0.18;0.37;1.6
517;7.4;0.15;0.42;1.7
518;5.9;0.13;0.28;1.9
519;7.2;0.34;0.34;12.6
520;7.9;0.19;0.26;2.1
521;7.9;0.19;0.26;2.1
522;6.9;0.25;0.4;1.3
523;5.8;0.36;0.32;1.7
524;5.6;0.35;0.37;
525;5.9;0.32;0.39;3.3
526;7.2;0.31;0.46;5.0
527;6.1;0.28;0.22;1.8
528;5.2;0.36;0.02;1.6
529;5.6;0.19;0.47;4.5
530;6.4;0.1;0.35;4.9
531;6.4;0.18;0.48;4.0
532;7.4;0.25;0.36;13.2
533;7.4;0.25;0.36;13.2
534;7.4;0.25;0.36;13.2
535;7.9;0.345;0.51;15.3
536;7.9;0.345;0.51;15.3
537;7.4;0.25;0.36;13.2
538;6.1;0.24;0.3;1.5
539;6.8;0.25;0.24;4.55
540;6.7;0.31;0.31;
541;7.2;0.46;0.65;10.4
542;5.5;0.35;0.35;1.1
543;6.7;0.24;0.41;8.7
544;6.8;0.28;0.17;13.9
545;6.4;0.16;0.22;1.4
546;6.3;0.26;0.24;7.2
547;7.7;0.22;0.42;1.9
548;6.5;0.18;0.31;1.7
549;7.2;0.46;0.65;10.4
550;7.0;0.3;0.51;
551;9.2;0.25;0.34;1.2
552;7.8;0.28;0.34;1.6
553;7.0;0.3;0.51;13.6
554;7.8;0.28;0.34;1.6
555;9.2;0.25;0.34;1.2
556;8.4;0.35;0.71;12.2
557;6.1;0.41;0.24;
558;5.9;0.21;0.24;12.1
559;7.2;0.34;0.44;4.2
560;6.7;0.21;0.42;9.1
561;5.9;0.37;0.1;1.6
562;7.7;0.34;0.27;8.8
563;7.4;0.3;0.22;1.4
564;6.8;0.51;0.3;4.2
565;7.8;0.22;0.38;10.3
566;7.2;0.35;0.34;12.4
567;6.0;0.26;0.5;2.2
568;6.1;0.26;0.51;2.2
569;6.5;0.28;0.27;5.2
570;7.4;0.41;0.66;10.8
571;6.5;0.28;0.29;2.7
572;6.7;0.34;0.54;16.3
573;7.2;0.2;0.34;2.7
574;7.4;0.2;0.33;1.9
575;8.2;0.22;0.3;1.8
576;8.2;0.23;0.29;1.8
577;7.1;0.22;0.33;2.8
578;6.5;0.28;0.29;2.7
579;6.0;0.38;0.26;6.0
580;7.4;0.41;0.66;10.8
581;5.7;0.18;0.22;4.2
582;7.3;0.3;0.22;6.4
583;7.4;0.24;0.22;10.7
584;6.6;0.25;0.3;1.6
585;7.4;0.24;0.22;10.7
586;7.4;0.26;0.3;7.9
587;6.1;0.32;0.25;1.7
588;6.9;0.28;0.27;2.1
589;7.0;0.23;0.33;5.8
590;7.1;0.31;0.5;14.5
591;7.3;0.2;0.37;1.2
592;6.9;0.41;0.33;10.1
593;6.4;0.45;0.07;1.1
594;6.4;0.475;0.06;1.0
595;6.3;0.27;0.38;0.9
596;6.9;0.41;0.33;
597;7.0;0.29;0.37;4.9
598;5.9;0.27;0.29;11.4
599;6.9;0.19;0.4;1.4
600;6.7;0.3;0.35;1.4
601;7.2;0.24;0.4;
602;6.4;0.45;0.07;1.1
603;6.4;0.475;0.06;1.0
604;6.3;0.26;0.49;
605;6.3;0.26;0.49;1.5
606;7.3;0.25;0.29;7.5
607;7.3;0.25;0.29;7.5
608;6.1;0.28;0.25;17.75
609;7.4;0.37;0.35;5.7
610;6.5;0.36;0.28;3.2
611;7.4;0.24;0.4;4.3
612;7.5;0.23;0.68;11.0
613;7.5;0.21;0.68;10.9
614;7.5;0.21;0.68;10.9
615;7.5;0.23;0.68;11.0
616;7.8;0.32;0.33;2.4
617;7.8;0.26;0.27;1.9
618;7.7;0.24;0.27;1.8
619;7.4;0.19;0.3;1.4
620;6.5;0.46;0.41;16.8
621;6.5;0.26;0.43;8.9
622;5.3;0.32;0.12;6.6
623;7.2;0.24;0.34;1.1
624;6.0;0.36;0.06;1.4
625;6.2;0.24;0.29;13.3
626;7.6;0.56;0.12;10.4
627;7.0;0.32;0.24;6.2
628;7.0;0.32;0.24;6.2
629;5.8;0.31;0.33;1.2
630;7.0;0.23;0.42;18.05
631;7.0;0.23;0.42;18.05
632;6.9;0.24;0.33;
633;6.0;0.29;0.2;12.6
634;6.1;0.17;0.28;4.5
635;5.9;0.14;0.25;4.5
636;6.2;0.17;0.28;4.7
637;7.4;0.28;0.25;11.9
638;5.6;0.35;0.14;5.0
639;5.8;0.335;0.14;
640;5.6;0.235;0.29;1.2
641;6.1;0.28;0.25;12.9
642;6.3;0.21;0.33;13.9
643;6.4;0.24;0.28;
644;6.4;0.24;0.29;11.4
645;6.3;0.26;0.25;7.8
646;6.5;0.33;0.72;1.1
647;7.4;0.105;0.34;12.2
648;6.0;0.32;0.12;5.9
649;7.1;0.26;0.34;14.4
650;7.1;0.26;0.34;14.4
651;7.1;0.26;0.34;14.4
652;7.1;0.26;0.34;14.4
653;5.9;0.24;0.26;12.3
654;6.5;0.21;0.37;2.5
655;7.7;0.27;0.35;5.3
656;9.0;0.27;0.35;4.9
657;7.3;0.34;0.21;3.2
658;6.6;0.27;0.25;3.1
659;6.8;0.29;0.16;
660;7.1;0.28;0.26;1.9
661;6.8;0.25;0.34;14.0
662;7.0;0.57;0.1;8.3
663;7.1;0.28;0.26;1.9
664;7.1;0.17;0.38;7.4
665;7.8;0.28;0.22;1.4
666;6.8;0.22;0.37;1.7
667;7.1;0.17;0.38;
668;6.1;0.14;0.25;1.3
669;6.4;0.24;0.5;11.6
670;7.8;0.42;0.26;9.2
671;6.6;0.28;0.36;1.7
672;7.1;0.32;0.34;14.5
673;6.7;0.31;0.3;2.1
674;6.4;0.32;0.5;10.7
675;6.1;0.28;0.25;
676;5.9;0.29;0.25;12.0
677;5.8;0.32;0.38;
678;5.8;0.32;0.38;
679;5.7;0.32;0.38;4.75
680;6.7;0.28;0.14;1.4
681;6.8;0.34;0.69;
682;5.9;0.25;0.25;11.3
683;6.4;0.27;0.32;4.5
684;8.1;0.46;0.31;1.7
685;6.2;0.36;0.26;13.2
686;6.8;0.22;0.35;5.5
687;6.8;0.67;0.3;13.0
688;7.2;0.28;0.3;10.7
689;6.7;0.17;0.37;2.0
690;6.9;0.2;0.34;1.9
691;6.1;0.36;0.16;6.4
692;6.0;0.36;0.16;
693;5.9;0.37;0.14;6.3
694;7.6;0.29;0.58;17.5
695;6.3;0.34;0.28;14.7
696;6.7;0.19;0.34;1.0
697;7.5;0.31;0.51;14.8
698;7.5;0.31;0.51;14.8
699;7.4;0.31;0.48;
700;8.4;0.4;0.7;13.1
701;5.9;0.34;0.22;2.4
702;6.6;0.38;0.18;1.2
703;6.4;0.33;0.28;1.1
704;5.6;0.25;0.26;
705;8.6;0.27;0.46;6.1
706;6.2;0.31;0.21;6.3
707;7.2;0.18;0.45;4.4
708;7.7;0.2;0.44;13.9
709;6.2;0.47;0.21;1.0
710;6.1;0.25;0.24;12.1
711;8.2;0.27;0.43;1.6
712;8.2;0.27;0.43;1.6
713;6.4;0.31;0.39;7.5
714;6.0;0.39;0.26;2.7
715;6.2;0.21;0.27;1.7
716;7.7;0.42;0.31;9.2
717;7.0;0.27;0.41;18.75
718;6.2;0.21;0.27;1.7
719;7.4;0.29;0.5;1.8
720;6.6;0.29;0.44;9.0
721;6.0;0.3;0.44;1.5
722;6.9;0.31;0.34;1.6
723;6.6;0.33;0.31;1.3
724;7.8;0.3;0.4;1.8
725;6.4;0.39;0.21;1.2
726;6.4;0.24;0.31;2.8
727;7.0;0.21;0.34;8.0
728;6.4;0.16;0.31;5.3
729;6.0;0.33;0.27;0.8
730;6.5;0.23;0.33;13.8
731;6.2;0.25;0.48;10.0
732;8.8;0.28;0.45;
733;6.6;0.25;0.3;14.4
734;6.9;0.38;0.25;9.8
735;6.4;0.25;0.3;5.5
736;6.6;0.25;0.3;14.4
737;6.9;0.38;0.25;
738;7.1;0.21;0.31;3.8
739;6.4;0.25;0.3;5.5
740;6.9;0.39;0.4;4.6
741;5.8;0.2;0.3;1.5
742;7.0;0.2;0.37;2.0
743;5.9;0.26;0.25;12.5
744;7.4;0.38;0.27;
745;7.4;0.2;1.66;2.1
746;7.0;0.21;0.34;8.5
747;7.2;0.29;0.4;7.6
748;6.9;0.18;0.38;8.1
749;7.3;0.3;0.42;7.35
750;7.2;0.29;0.4;7.6
751;6.9;0.2;0.5;10.0
752;6.7;0.2;0.42;14.0
753;7.0;0.21;0.34;8.5
754;5.9;0.35;0.47;2.2
755;7.1;0.28;0.44;1.8
756;5.8;0.25;0.28;11.1
757;6.8;0.22;0.37;15.2
758;7.1;0.14;0.4;1.2
759;7.1;0.13;0.4;1.2
760;6.9;0.18;0.38;8.1
761;7.0;0.2;0.38;8.1
762;6.8;0.24;0.49;19.3
763;5.0;0.44;0.04;
764;6.3;0.3;0.28;5.0
765;7.2;0.27;0.42;1.6
766;6.7;0.5;0.63;13.4
767;6.8;0.2;0.36;1.6
768;6.7;0.11;0.34;8.8
769;6.7;0.11;0.34;8.8
770;6.8;0.12;0.31;
771;6.6;0.16;0.57;1.1
772;6.6;0.21;0.6;1.1
773;6.1;0.27;0.3;16.7
774;9.1;0.27;0.45;10.6
775;6.4;0.225;0.48;2.2
776;8.3;0.14;0.45;1.5
777;7.2;0.23;0.19;13.7
778;6.9;0.22;0.37;
779;8.1;0.17;0.44;14.1
780;6.0;0.395;0.0;1.4
781;7.8;0.29;0.22;9.5
782;6.9;0.22;0.37;15.0
783;8.1;0.17;0.44;14.1
784;7.2;0.23;0.19;13.7
785;7.6;0.3;0.27;10.6
