;chlorides;free sulfur dioxide;total sulfur dioxide;density
229;0.046;39.0;145.0;0.9998
230;0.062;26.0;142.0;0.9972
231;0.040999999999999995;38.0;194.0;0.9976
232;0.039;49.0;208.0;0.9976
233;0.057999999999999996;55.0;194.0;0.9979
234;0.057999999999999996;55.0;194.0;0.9979
235;0.057999999999999996;55.0;194.0;0.9979
236;0.057999999999999996;55.0;194.0;0.9979
237;0.044000000000000004;54.0;221.0;0.9972
238;0.037000000000000005;40.0;120.0;0.9918
239;0.039;28.0;159.0;0.9982
240;0.05;49.0;197.0;0.9985
241;0.031;23.0;90.0;0.9944
242;0.026000000000000002;23.0;100.0;0.9903
243;0.047;64.5;218.5;0.9934
244;0.043;40.0;142.0;0.9975
245;0.038;20.0;249.5;0.9923
246;0.03;26.0;139.0;0.99
247;0.031;12.0;77.0;0.9905
248;0.03;12.0;76.0;0.9905
249;0.037000000000000005;18.0;119.0;0.996
250;0.053;40.0;199.0;0.9964
251;0.07400000000000001;41.0;197.0;0.998
252;0.043;40.0;142.0;0.9975
253;0.028999999999999998;5.0;109.0;0.9913
254;0.054000000000000006;37.0;158.0;0.9932
255;0.04;45.0;147.0;0.9935
256;0.035;8.0;97.0;0.9927
257;0.035;8.0;97.0;0.9927
258;0.032;23.0;118.0;0.9912
259;0.037000000000000005;3.0;75.0;0.9904
260;0.048;36.0;108.0;0.9939
261;0.043;36.0;156.0;0.9996
262;0.036000000000000004;15.0;95.0;0.9944
263;0.045;66.0;231.0;0.9977
264;0.038;22.0;167.0;0.9912
265;0.043;36.0;156.0;0.9996
266;0.053;32.0;180.0;0.9965
267;0.043;34.0;149.0;0.9944
268;0.044000000000000004;34.0;145.0;0.9945
269;0.045;36.0;147.0;0.9944
270;0.053;32.0;180.0;0.9965
271;0.044000000000000004;33.0;147.0;0.9944
272;0.051;44.0;148.0;0.9972
273;0.057;30.0;123.0;0.9949
274;0.046;59.0;234.0;0.9966
275;0.046;51.0;169.0;0.9954
276;0.044000000000000004;50.0;166.0;0.9954
277;0.042;9.0;60.0;0.9915
278;0.044000000000000004;14.0;67.0;0.9919
279;0.036000000000000004;17.0;105.0;0.9916
280;0.034;22.0;112.0;0.99
281;0.039;36.0;114.0;0.9909
282;0.047;46.0;201.0;0.9938
283;0.054000000000000006;51.0;196.0;0.9982
284;0.055;46.0;198.0;0.9988
285;0.055999999999999994;47.0;180.0;0.9961
286;0.053;51.0;190.0;0.9978
287;0.057999999999999996;49.0;192.0;0.9979
288;0.057999999999999996;49.0;192.0;0.9979
289;0.057999999999999996;49.0;192.0;0.9979
290;0.057999999999999996;49.0;192.0;0.9979
291;0.040999999999999995;53.0;155.0;0.9945
292;0.066;53.0;195.0;1.0
293;0.040999999999999995;26.0;157.0;0.9957
294;0.066;34.0;182.0;0.9968
295;0.046;34.0;175.0;0.9934
296;0.045;33.0;169.0;0.9976
297;0.040999999999999995;82.0;187.0;0.9932
298;0.046;65.0;146.0;0.997
299;0.043;27.0;122.0;0.9923
300;0.063;36.0;87.0;0.9914
301;0.05;12.0;74.0;0.992
302;0.063;36.0;87.0;0.9914
303;0.055;42.0;168.0;0.9914
304;0.057;41.0;163.0;0.9949
305;0.057;41.0;163.0;0.9949
306;0.057999999999999996;40.0;163.0;0.995
307;0.057999999999999996;41.0;166.0;0.995
308;0.036000000000000004;30.0;134.0;0.9927
309;0.037000000000000005;36.0;148.0;0.9928
310;0.035;16.0;100.0;0.9917
311;0.032;35.0;164.0;0.9918
312;0.042;37.0;149.0;0.9954
313;0.038;51.0;166.0;0.9941
314;0.04;50.0;167.0;0.9941
315;0.132;42.0;127.0;0.9934
316;0.031;34.0;134.0;0.9927
317;0.031;36.0;135.0;0.9938
318;0.03;19.0;133.0;0.9933
319;0.04;10.0;69.0;0.9934
320;0.040999999999999995;15.0;65.0;0.9927
321;0.031;36.0;135.0;0.9938
322;0.031;34.0;134.0;0.9927
323;0.031;35.0;137.0;0.9946
324;0.046;11.0;207.0;0.993
325;0.057;131.0;313.0;0.9946
326;0.04;38.0;216.0;0.9976
327;0.039;37.0;143.0;0.9944
328;0.042;55.0;195.0;0.9978
329;0.036000000000000004;33.0;85.0;0.992
330;0.03;34.0;101.0;0.9912
331;0.032;37.0;135.0;0.9927
332;0.033;16.0;91.0;0.9906
333;0.038;30.0;133.0;0.9954
334;0.031;12.0;80.0;0.9923
335;0.033;16.0;91.0;0.9906
336;0.036000000000000004;15.0;105.0;0.991
337;0.045;55.0;170.0;0.9972
338;0.047;12.0;139.0;0.9945
339;0.049;49.0;141.0;0.9934
340;0.045;27.0;153.0;0.9964
341;0.047;17.0;129.0;0.9948
342;0.044000000000000004;30.0;140.0;0.9962
343;0.053;46.0;144.0;0.9931
344;0.052000000000000005;47.0;145.0;0.993
345;0.05;33.0;131.0;0.9942
346;0.031;20.0;68.0;0.9906
347;0.055999999999999994;75.0;155.0;0.9995
348;0.052000000000000005;38.0;118.0;0.998
349;0.054000000000000006;56.0;137.0;0.997
350;0.044000000000000004;47.0;146.0;0.9914
351;0.038;32.0;138.0;0.992
352;0.071;27.0;128.0;0.9924
353;0.038;32.0;138.0;0.992
354;0.047;38.5;245.0;0.9937
355;0.063;48.0;191.0;0.9978
356;0.063;48.0;191.0;0.9978
357;0.05;24.0;169.0;0.9927
358;0.05;19.0;152.0;0.9940000000000001
359;0.04;43.0;161.0;0.9935
360;0.047;54.0;162.0;0.9968
361;0.055;24.0;84.0;0.9941
362;0.05;40.0;127.0;0.9942
363;0.063;48.0;191.0;0.9978
364;0.037000000000000005;18.0;102.0;0.9923
365;0.027999999999999997;29.0;113.0;0.9912
366;0.08900000000000001;40.0;143.0;0.9923
367;0.053;39.0;148.0;0.9927
368;0.049;36.0;178.0;0.9931
369;0.044000000000000004;26.0;72.0;0.9941
370;0.053;39.0;148.0;0.9927
371;0.049;36.0;178.0;0.9931
372;0.048;17.0;204.0;0.9934
373;0.048;30.0;149.0;0.9936
374;0.027000000000000003;18.0;89.0;0.9893
375;0.027000000000000003;18.0;89.0;0.9893
376;0.037000000000000005;12.0;119.0;0.9919
377;0.045;21.0;98.0;0.9924
378;0.049;17.0;155.0;0.9927
379;0.037000000000000005;12.0;119.0;0.9919
380;0.045;21.0;98.0;0.9924
381;0.046;48.0;179.0;0.9975
382;0.051;26.0;157.0;0.9969
383;0.048;30.0;149.0;0.9936
384;0.027000000000000003;20.0;125.0;0.991
385;0.027000000000000003;18.0;89.0;0.9893
386;0.026000000000000002;24.0;115.0;0.9906
387;0.04;82.5;260.0;0.9941
388;0.047;29.0;140.0;0.995
389;0.032;60.0;181.0;0.9983
390;0.032;60.0;181.0;0.9983
391;0.031;13.0;66.0;0.9916
392;0.031;19.0;125.0;0.9957
393;0.021;20.0;69.0;0.99
394;0.044000000000000004;62.0;163.0;0.9976
395;0.04;87.0;168.0;0.992
396;0.031;30.0;93.0;0.9917
397;0.037000000000000005;35.0;107.0;0.9917
398;0.048;52.0;168.0;0.9993
399;0.032;32.0;83.0;0.9908
400;0.037000000000000005;35.0;107.0;0.9917
401;0.044000000000000004;62.0;163.0;0.9976
402;0.069;22.0;108.0;0.9934
403;0.046;55.0;252.0;1.0
404;0.035;33.0;170.0;0.9918
405;0.04;87.0;168.0;0.992
406;0.031;40.0;99.0;0.9896
407;0.049;13.0;125.0;0.9932
408;0.044000000000000004;26.0;116.0;0.992
409;0.031;30.0;93.0;0.9917
410;0.038;42.0;155.0;0.9999
411;0.04;38.0;140.0;0.998
412;0.036000000000000004;32.0;85.0;0.9918
413;0.036000000000000004;32.0;85.0;0.9918
414;0.038;42.0;155.0;0.9999
415;0.04;38.0;140.0;0.998
416;0.040999999999999995;27.0;99.0;0.9927
417;0.047;57.0;210.0;0.9959
418;0.040999999999999995;27.0;99.0;0.9927
419;0.05;33.0;137.0;0.9929
420;0.03;41.0;136.0;0.9898
421;0.045;37.0;222.0;0.9954
422;0.045;37.0;221.0;0.9954
423;0.045;37.0;221.0;0.9954
424;0.047;47.0;162.0;0.9954
425;0.045;37.0;222.0;0.9954
426;0.045;37.0;221.0;0.9954
427;0.053;48.0;194.0;0.9974
428;0.051;20.0;89.0;0.9936
429;0.055999999999999994;54.0;197.0;0.9978
430;0.053;48.0;194.0;0.9974
431;0.048;19.0;84.0;0.9927
432;0.045;73.5;214.0;0.9934
433;0.10800000000000001;16.0;151.0;0.9938
434;0.027999999999999997;31.0;104.0;0.9922
435;0.027000000000000003;24.0;97.0;0.992
436;0.042;23.0;218.5;0.9935
437;0.035;49.0;186.0;0.9906
438;0.045;73.5;214.0;0.9934
439;0.06;23.0;108.0;0.9934
440;0.027999999999999997;24.0;102.0;0.9913
441;0.033;25.0;137.0;0.9938
442;0.026000000000000002;54.0;126.0;0.9898
443;0.048;54.0;245.0;0.9975
444;0.031;40.0;139.0;0.9975
445;0.038;16.0;66.0;0.9937
446;0.054000000000000006;30.0;156.0;0.9914
447;0.048;24.0;113.0;0.9982
448;0.048;24.0;113.0;0.9982
449;0.052000000000000005;34.0;127.0;0.9929
450;0.07;21.0;174.0;0.9971
451;0.038;34.0;128.0;0.9921
452;0.042;27.0;160.0;0.9931
453;0.046;32.0;113.0;0.9924
454;0.052000000000000005;34.0;127.0;0.9929
455;0.048;24.0;113.0;0.9982
456;0.022000000000000002;11.0;82.0;0.9892
457;0.055999999999999994;26.0;111.0;0.9956
458;0.053;31.0;218.5;0.9924
459;0.059000000000000004;83.0;249.0;0.9971
460;0.055999999999999994;26.0;111.0;0.9956
461;0.047;40.0;171.0;0.9982
462;0.047;50.0;162.0;0.9973
463;0.044000000000000004;15.0;68.0;0.9932
464;0.047;66.0;178.0;0.9976
465;0.081;34.0;126.0;0.9962
466;0.039;54.0;141.0;0.9956
467;0.044000000000000004;15.0;68.0;0.9932
468;0.047;66.0;178.0;0.9976
469;0.047;59.0;182.0;0.9992
470;0.039;21.0;158.0;0.9983
471;0.036000000000000004;34.0;200.0;0.9937
472;0.023;19.0;86.0;0.99
473;0.034;34.0;132.0;0.9944
474;0.03;30.0;102.0;0.9938
475;0.028999999999999998;55.0;227.0;0.9965
476;0.027999999999999997;42.0;105.0;0.9893
477;0.037000000000000005;29.0;115.0;0.9927
478;0.073;21.0;165.0;0.9940000000000001
479;0.040999999999999995;67.0;164.0;0.9928
480;0.043;31.0;172.0;0.9964
481;0.047;45.0;104.0;0.9917
482;0.044000000000000004;41.0;137.0;0.9972
483;0.043;31.0;172.0;0.9964
484;0.34600000000000003;79.0;200.0;0.9954
485;0.027999999999999997;36.0;117.0;0.993
486;0.025;43.0;117.0;0.9928
487;0.035;32.0;90.0;0.9916
488;0.045;53.0;180.0;0.9936
489;0.047;52.0;177.0;0.9962
490;0.035;8.0;70.0;0.9899
491;0.032;12.0;65.0;0.9898
492;0.039;42.0;182.0;0.996
493;0.022000000000000002;28.0;158.0;0.9907
494;0.04;27.0;103.0;0.9940000000000001
495;0.025;28.0;173.0;0.9913
496;0.040999999999999995;70.0;189.0;0.9976
497;0.026000000000000002;43.0;147.0;0.9904
498;0.04;13.0;174.0;0.992
499;0.040999999999999995;70.0;189.0;0.9976
500;0.045;54.0;200.0;0.9990000000000001
501;0.038;51.0;164.0;0.9975
502;0.038;8.0;210.0;0.9937
503;0.037000000000000005;8.0;210.0;0.9937
504;0.053;46.0;140.0;0.998
505;0.053;46.0;140.0;0.998
506;0.09;7.0;135.0;0.9944
507;0.048;40.0;170.0;0.9938
508;0.039;55.0;152.0;0.9907
509;0.048;40.0;170.0;0.9938
510;0.040999999999999995;62.0;138.0;0.9921
511;0.042;8.0;167.0;0.9908
512;0.04;31.0;141.0;0.9931
513;0.025;27.0;55.0;0.9915
514;0.036000000000000004;34.0;115.0;0.9952
515;0.051;28.0;167.0;0.9926
516;0.055;47.0;154.0;0.9934
517;0.045;49.0;154.0;0.992
518;0.05;20.0;78.0;0.9918
519;0.048;7.0;41.0;0.9942
520;0.039;8.0;143.0;0.9942
521;0.039;8.0;143.0;0.9942
522;0.038;22.0;101.0;0.9901
523;0.033;22.0;96.0;0.9898
524;0.038;6.0;72.0;0.9902
525;0.114;24.0;140.0;0.9934
526;0.04;3.0;29.0;0.9906
527;0.034;32.0;116.0;0.9898
528;0.031;24.0;104.0;0.9896
529;0.03;19.0;112.0;0.9922
530;0.048;31.0;103.0;0.9947
531;0.18600000000000003;64.0;150.0;0.9945
532;0.067;53.0;178.0;0.9976
533;0.067;53.0;178.0;0.9976
534;0.067;53.0;178.0;0.9976
535;0.047;54.0;171.0;0.9987
536;0.047;54.0;171.0;0.9987
537;0.067;53.0;178.0;0.9976
538;0.045;22.0;61.0;0.992
539;0.053;41.0;211.0;0.9955
540;0.04;10.0;175.0;0.9953
541;0.05;76.0;192.0;0.9976
542;0.045;14.0;167.0;0.992
543;0.036000000000000004;29.0;148.0;0.9952
544;0.047;49.0;162.0;0.9983
545;0.04;41.0;149.0;0.9933
546;0.039;38.0;172.0;0.9958
547;0.052000000000000005;10.0;87.0;0.9922
548;0.044000000000000004;30.0;127.0;0.9928
549;0.05;76.0;192.0;0.9976
550;0.05;40.0;168.0;0.9976
551;0.026000000000000002;31.0;93.0;0.9916
552;0.027999999999999997;32.0;118.0;0.9901
553;0.05;40.0;168.0;0.9976
554;0.027999999999999997;32.0;118.0;0.9901
555;0.026000000000000002;31.0;93.0;0.9916
556;0.046;22.0;160.0;0.9982
557;0.049;16.0;137.0;0.993
558;0.044000000000000004;53.0;165.0;0.9969
559;0.047;51.0;144.0;0.991
560;0.049;31.0;150.0;0.9953
561;0.057;39.0;128.0;0.9924
562;0.063;39.0;184.0;0.9969
563;0.046;16.0;135.0;0.9928
564;0.066;38.0;165.0;0.9945
565;0.059000000000000004;28.0;99.0;0.9967
566;0.051;6.0;37.0;0.9944
567;0.048;59.0;153.0;0.9928
568;0.05;61.0;154.0;0.9929
569;0.04;44.0;179.0;0.9948
570;0.051;77.0;194.0;0.9976
571;0.038;26.0;107.0;0.9912
572;0.047;44.0;181.0;0.9987
573;0.032;49.0;151.0;0.99
574;0.035;39.0;138.0;0.991
575;0.047;47.0;185.0;0.9933
576;0.047;47.0;187.0;0.9933
577;0.033;48.0;153.0;0.9899
578;0.038;26.0;107.0;0.9912
579;0.034;42.0;134.0;0.9912
580;0.051;77.0;194.0;0.9976
581;0.042;25.0;111.0;0.9940000000000001
582;0.055999999999999994;44.0;168.0;0.9947
583;0.042;26.0;81.0;0.9954
584;0.046;32.0;134.0;0.993
585;0.042;26.0;81.0;0.9954
586;0.049;38.0;157.0;0.9963
587;0.034;37.0;136.0;0.992
588;0.036000000000000004;42.0;121.0;0.9926
589;0.04;25.0;136.0;0.995
590;0.059000000000000004;6.0;148.0;0.9983
591;0.037000000000000005;48.0;119.0;0.992
592;0.043;28.0;152.0;0.9968
593;0.03;10.0;131.0;0.9905
594;0.03;9.0;131.0;0.9904
595;0.051;7.0;140.0;0.9926
596;0.043;28.0;152.0;0.9968
597;0.034;26.0;127.0;0.9928
598;0.036000000000000004;31.0;115.0;0.9949
599;0.036000000000000004;14.0;55.0;0.9909
600;0.18;36.0;160.0;0.9937
601;0.045;31.0;106.0;0.9914
602;0.03;10.0;131.0;0.9905
603;0.03;9.0;131.0;0.9904
604;0.052000000000000005;34.0;134.0;0.9924
605;0.052000000000000005;34.0;134.0;0.9924
606;0.049;38.0;158.0;0.9965
607;0.049;38.0;158.0;0.9965
608;0.044000000000000004;48.0;161.0;0.9993
609;0.061;12.0;94.0;0.9965
610;0.037000000000000005;29.0;119.0;0.9908
611;0.032;9.0;95.0;0.992
612;0.047;37.0;133.0;0.9978
613;0.045;38.0;133.0;0.9978
614;0.045;38.0;133.0;0.9978
615;0.047;37.0;133.0;0.9978
616;0.037000000000000005;18.0;101.0;0.9912
617;0.051;52.0;195.0;0.9928
618;0.051;52.0;190.0;0.9928
619;0.057;33.0;135.0;0.993
620;0.084;59.0;222.0;0.9993
621;0.083;50.0;171.0;0.9965
622;0.043;22.0;141.0;0.9937
623;0.045;3.0;64.0;0.9913
624;0.066;27.0;128.0;0.9934
625;0.039;49.0;130.0;0.9952
626;0.096;22.0;177.0;0.9983
627;0.048;31.0;228.0;0.9957
628;0.048;31.0;228.0;0.9957
629;0.036000000000000004;23.0;99.0;0.9916
630;0.05;35.0;144.0;0.9999
631;0.05;35.0;144.0;0.9999
632;0.04;16.0;131.0;0.9936
633;0.045;45.0;187.0;0.9972
634;0.033;46.0;150.0;0.9933
635;0.027000000000000003;34.0;140.0;0.9934
636;0.037000000000000005;39.0;133.0;0.9931
637;0.053;25.0;148.0;0.9976
638;0.046;48.0;198.0;0.9937
639;0.046;49.0;197.0;0.9937
640;0.047;33.0;127.0;0.991
641;0.054000000000000006;34.0;189.0;0.9979
642;0.046;68.0;179.0;0.9971
643;0.05;34.0;163.0;0.9969
644;0.051;32.0;166.0;0.9968
645;0.057999999999999996;44.0;166.0;0.9961
646;0.061;7.0;151.0;0.993
647;0.05;57.0;146.0;0.9973
648;0.040999999999999995;34.0;190.0;0.9944
649;0.067;35.0;189.0;0.9986
650;0.067;35.0;189.0;0.9986
651;0.067;35.0;189.0;0.9986
652;0.067;35.0;189.0;0.9986
653;0.053;34.0;134.0;0.9972
654;0.048;70.0;138.0;0.9917
655;0.03;30.0;117.0;0.992
656;0.027999999999999997;27.0;95.0;0.9932
657;0.05;14.0;136.0;0.9936
658;0.052000000000000005;41.0;188.0;0.9915
659;0.038;122.5;234.5;0.9922
660;0.049;12.0;86.0;0.9934
661;0.032;47.0;133.0;0.9952
662;0.094;23.0;188.0;0.9972
663;0.049;12.0;86.0;0.9934
664;0.052000000000000005;49.0;182.0;0.9958
665;0.055999999999999994;24.0;130.0;0.9944
666;0.036000000000000004;38.0;195.0;0.9908
667;0.052000000000000005;49.0;182.0;0.9958
668;0.047;37.0;173.0;0.9925
669;0.047;60.0;211.0;0.9966
670;0.057999999999999996;34.0;199.0;0.9972
671;0.038;22.0;101.0;0.9912
672;0.039;46.0;150.0;0.995
673;0.038;18.0;130.0;0.9928
674;0.047;57.0;206.0;0.9968
675;0.055999999999999994;44.0;201.0;0.9955
676;0.057;48.0;224.0;0.9981
677;0.033;23.0;94.0;0.991
678;0.033;23.0;94.0;0.991
679;0.033;23.0;94.0;0.991
680;0.043;64.0;159.0;0.992
681;0.057999999999999996;12.0;171.0;0.9931
682;0.052000000000000005;30.0;165.0;0.997
